ho_url_id	page_category	page_url
64	DOCUMENTATION	www.vmware.com/support/pubs/vsphere-big-data-extensions-pubs.html
65	PRODUCT COMPARISON	www.guesthollow.com/homeschool/reviews/reviewmathcomparisontable.html
66	PRODUCT COMPARISON	www.itcentralstation.com/products/comparisons/cisco-unified-communications_vs_digium-asterisk
67	WHITEPAPER	www.ecclestonlaw.com/articles/white-paper-on-the-role-of-compliance-underscores-its-critical-investor-protection-function
68	INFOGRAPHIC	www.dimensiondata.com/en-BE/Pages/Profile%20Boxes/Dimension-Data-Europe-infographic.aspx
69	PRODUCT DETAIL	www.menswearhouse.com/mens-clothes/formalwear
70	WHITEPAPER	www.eventtracker.com/whitepapers/eventtracker-threat-intelligence-integration/
71	PRODUCT COMPARISON	cars.axlegeeks.com/compare/1601-2175/2013-Ford-Focus-vs-2013-Ford-Fusion
72	DOCUMENTATION	www.cisco.com/c/en/us/products/wireless/asr-5500/
73	INFOGRAPHIC	www.worldipv6launch.org/infographic/
74	PRESS RELEASE	www.w3.org/Conferences/WWW4/951113_News.html
75	WHITEPAPER	www.officedepot.com/a/products/333465/HP-Office-Ultra-White-Paper-Letter/
76	PRODUCT DETAIL	www.webmd.com/fitness-exercise/p90x-workout
77	STORE LOCATOR	www.storelocations411.com/San%20Bruno/CA/fye/1150-El-Camino-Real-00850.html
78	WHITEPAPER	www.techrepublic.com/resource-library/whitepapers/whitepaper-the-forrester-wave-human-resource-management-systems-q1-2012/
79	WHITEPAPER	www.dell.com/learn/us/en/555/dell-cloud-computing-resources
80	PRODUCT CATEGORY	www.ebay.com/bhp/motorcycle-grips
81	PRODUCT DETAIL	tubbssnowshoes.com/snowshoes/xplore-m
82	PRODUCT COMPARISON	www.consumersearch.com/steam-cleaners
83	PRODUCT DETAIL	www.amazon.com/Rose-Monogram-Necklace-Plated-Personalized/dp/B009UTWCVM
84	INFOGRAPHIC	www.naturalhealthcollege.org/holistic-health-benefits-of-a-holistic-nutrition-diet-infographic.php
85	PRODUCT DETAIL	solutions.3m.com/wps/portal/3M/en_US/3MScreens_NA/Protectors/Protection/Anti_Glare/
86	PRODUCT COMPARISON	www.itcentralstation.com/products/comparisons/commvault_vs_veeam-backup
87	INFOGRAPHIC	www.pinterest.com/1stwebdesigner/top-social-media-infographics-in-2012/
88	STORE LOCATOR	info.ikea-usa.com/StoreLocator/StoreLocator.aspx
89	STORE LOCATOR	storefound.org/qwest-store-hours-locations
90	WHITEPAPER	ioeassessment.cisco.com/learn/2013-ioe-value-index-whitepaper
91	PRODUCT CATEGORY	www.target.com/c/dollhouses-dolls-toys/-/N-5xt8v
92	DOCUMENTATION	www.adobe.com/devnet/adobe-media-server.html
93	WHITEPAPER	www.paycom.com/buzz-bin/whitepapers/?wp=cobra
94	INFOGRAPHIC	www.business2community.com/customer-experience/9-facts-will-change-think-customer-service-infographic-0788925
95	PRODUCT COMPARISON	www.lowes.com/Appliances/Ranges/Electric-Ranges/_/N-1z0ynwq/pl
96	INFOGRAPHIC	www.socialmediatoday.com/social-networks/carianneking/2015-06-26/social-media-addiction-statistics-infographic
97	STORE LOCATOR	www.forever21.com/Store/StoreLocator.aspx
98	PRESS RELEASE	www.pfizer.com/news/press-release/press-release-detail/pfizer_invites_public_to_view_and_listen_to_webcast_of_february_2_conference_call_with_analysts
99	PRODUCT DETAIL	waterpebbleus.com/
100	STORE LOCATOR	www.hoursinfo.com/spirit-halloween-store-hours-locations/rhode-island/warwick
101	WHITEPAPER	www.bankinfosecurity.com/whitepapers/test-gartner-w-602
102	PRODUCT DETAIL	www.ebay.com/bhp/mongoose-helmet
103	PRODUCT COMPARISON	www.telegraph.co.uk/finance/newsbysector/energy/oilandgas/8804763/DCC-to-sell-heating-oil-price-comparison-website-Boilerjuice-after-OFT-criticism.html
104	STORE LOCATOR	www.mystore411.com/store/list_state/1119/Ohio/Dressbarn-store-locations
105	PRESS RELEASE	otp.investis.com/clients/us/jetblue_airways/usn/usnews-story.aspx?cid=981&newsid=32824
106	PRESS RELEASE	investor.yahoo.net/releases.cfm?view=all
107	PRODUCT CATEGORY	www.homedepot.com/b/Lighting-Ceiling-Fans-Track-Lighting-Track-Lighting-Kits/Low-voltage/N-5yc1vZc7q2Z1z10h1v
108	PRODUCT COMPARISON	www.nolo.com/legal-encyclopedia/comparing-mortgage-points-fees-30214.html
109	DOCUMENTATION	jsonapi.org/format/
110	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/9-28-10e.cfm
111	PRODUCT DETAIL	sproutpeople.org/coconut-coir-growing-medium/
112	PRESS RELEASE	www.nsf.gov/news/news_summ.jsp?cntn_id=137354&org=NSF&from=news
113	STORE LOCATOR	storefound.org/marathon-oil-company-store-hours-locations
114	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/chair-remarks-1-19-2016.cfm
115	PRODUCT COMPARISON	www.pharmacychecker.com/brand/price-comparison/humalog+kwikpen/100+u&amp;252ml/
116	PRESS RELEASE	press.foxnews.com/press-archive/2011/
117	PRODUCT CATEGORY	www.jcpenney.com/kids/disney/costumes-and-accessories/cat.jump?id=cat1003110028
118	PRODUCT CATEGORY	www.wayfair.com/Gaming-Chairs-C410369.html
119	PRODUCT CATEGORY	www.pcmag.com/article2/0,2817,2402169,00.asp
120	PRODUCT CATEGORY	www.astracast.com/uk/products/sinks/shopby/sink_material-granite/
121	WHITEPAPER	www.infoworld.com/resources
122	PRODUCT DETAIL	www.ultrasabers.com/
123	PRODUCT DETAIL	www.kmart.com/search=minnie%20mouse%20toy%20box
124	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/1-29-16.cfm
125	PRODUCT DETAIL	www.amazon.com/Avery-Durable-Binder-2-Inch-27554/product-reviews/B0006HV8V2
126	PRODUCT CATEGORY	www.newegg.com/Toslink-Digital-Optical-Audio-Cables/SubCategory/ID-2839
127	PRODUCT COMPARISON	www.dogwatch.com/hidden-fence-system-comparison/
128	PRODUCT DETAIL	www.amazon.com/Hello-Fuji-Instax-Anniversary-Fujifilm/dp/B00LE872FI
129	DOCUMENTATION	www.tutorialspoint.com/sdlc/sdlc_agile_model.htm
130	PRESS RELEASE	www.w3.org/Press/Releases-2016
131	STORE LOCATOR	www.energystar.gov/index.cfm?fuseaction=store.store_locator
132	PRODUCT DETAIL	www.schwinn.com/
133	PRODUCT DETAIL	www.cnet.com/products/electrolux-36-inch-electric-hybrid-induction-cooktop/user-reviews/
134	PRODUCT DETAIL	www.walmart.com/tp/disney-planes-assortment
135	STORE LOCATOR	www.walgreens.com/storelocator/find.jsp
136	PRODUCT COMPARISON	www.indianalivinggreen.com/the-heat-is-on-how-do-various-home-heating-systems-compare-when-it-comes-to-efficiency-and-cost/
137	PRODUCT DETAIL	www.amazon.com/MCS-Picture-Frame-Backing-Frames/dp/B004BLTXJ8
138	PRESS RELEASE	www.brightcove.com/en/company/press/brightcove-raises-595-million-series-c-round
139	PRESS RELEASE	news.berkeley.edu/2016/03/11/magnetic-chips-low-power-computing/
140	STORE LOCATOR	www.cabelas.com/stores/stores_home.jsp
141	PRODUCT COMPARISON	www.kbb.com/car-reviews-and-news/top-10/best-luxury-suvs-2014/2000010467/
142	PRODUCT CATEGORY	www.homedepot.com/b/Heating-Venting-Cooling-Fireplace-Hearth-Freestanding-Stoves-Pellet-Stoves/N-5yc1vZc7ix
143	PRESS RELEASE	www.comscore.com/Insights/Press-Releases/2016/1/comScoreRentrak-Merger-Approved-by-Shareholders
144	PRODUCT DETAIL	www.buybuybaby.com/store/category/gear-travel/activity/gyms-playmats/32157/
145	PRESS RELEASE	www.ftc.gov/news-events/press-releases/2005/05/bogus-weight-loss-products-do-not-work
146	DOCUMENTATION	www.iras.gov.sg/irashome/Businesses/Companies/Working-out-Corporate-Income-Taxes/Specific-topics/Transfer-Pricing/Introduction-to-Transfer-Pricing/
147	DOCUMENTATION	www.oracle.com/technetwork/middleware/id-mgmt/downloads/oid-11gr2-2104316.html
148	PRODUCT DETAIL	www.bluenile.com/princess-cut-diamond-stud-earrings-14k-white-gold_50006
149	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/archive/6-25-09.html
150	PRESS RELEASE	investors.dupont.com/investor-relations/investor-news/investor-news-details/2016/DuPont-Names-Randy-L-Stone-as-President-DuPont-Performance-Materials/default.aspx
151	PRODUCT CATEGORY	www.qvc.com/for-the-home/aerobed/_/N-lgluZ1z13ioa/c.html?pageSize=ALL
152	PRODUCT COMPARISON	www.moneysavingexpert.com/phones/compare-samsung-galaxy-deals
153	INFOGRAPHIC	www.concep.com/infographic-b2b-content-marketing-trends-2015/
154	PRESS RELEASE	investor.yahoo.net/releasedetail.cfm?ReleaseID=962108
155	WHITEPAPER	thejournal.com/whitepapers/2010/06/~/media/EDU/THEJournal/Microsites/GovConnection/Infrastructure/PDF/Universal%20Docking%20Station%20with%20Video%20and%20Ethernet%20sd400v.ashx
156	INFOGRAPHIC	www.dailymail.co.uk/sciencetech/article-2588177/The-family-tree-DOGS-From-tiny-chihuahuas-great-danes-infographic-reveals-single-breed-related.html
157	WHITEPAPER	www.amazon.com/Kikkerland-Biodegradable-Paper-Straws-Striped/dp/B004K8SSAC
158	PRODUCT CATEGORY	www.amazon.com/Driving-Glasses-Polycarbonate-Anti-reflective-Protection/product-reviews/B000LS6H58
159	WHITEPAPER	www.sans.org/reading-room/whitepapers/detection/choosing-intrusion-detection-system-suits-organization-82
160	PRESS RELEASE	press.foxnews.com/2011/06/cnns-ed-henry-to-join-fox-news-as-chief-white-house-correspondent/
161	PRODUCT DETAIL	www.amazon.com/Nexxus-Vitatress-Hair-Regrowth-Supplement-Treatment/dp/B000F7KBC0/ref?tag=bestshampoo08-20
162	PRESS RELEASE	www.nsf.gov/news/index.jsp?prio_area=5
163	PRESS RELEASE	www.federalreserve.gov/newsevents/press/enforcement/20061221b.htm
164	PRODUCT CATEGORY	www.walmart.com/c/kp/shower-caps
165	DOCUMENTATION	docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.html
166	WHITEPAPER	www.techrepublic.com/resource-library/whitepapers/program-support-specialist-resume/
167	INFOGRAPHIC	borislavkiprin.tumblr.com/
168	PRODUCT CATEGORY	www.overstock.com/Home-Garden/Bathroom-Cabinets/Linen-Tower,/type,/6403/subcat.html
169	PRODUCT DETAIL	www.techwholesale.com/
170	WHITEPAPER	www.onlinetech.com/disaster-recovery-white-paper-full-access
171	DOCUMENTATION	www.microsoft.com/en-us/download/details.aspx?id=347
172	STORE LOCATOR	www.cricketwireless.com/stores.html
173	PRESS RELEASE	www.gpo.gov/newsroom-media/press-release.htm
174	INFOGRAPHIC	neomam.com/blog/7-typography-infographics/
175	INFOGRAPHIC	www.pinterest.com/othellosA/making-coffee-infographics/
176	PRODUCT DETAIL	3d-tv-review.toptenreviews.com/lg-55lw6500-review.html
177	PRODUCT COMPARISON	www.mu-43.com/threads/my-e-pm1-arrived-comparison-to-e-pl2.16304/
178	INFOGRAPHIC	boneo.bio-rep.com/blog/dog-health/315/calcium-for-dogs-why-its-important-infographic
179	INFOGRAPHIC	theundercoverrecruiter.com/infographic-employee-referrals-hire/
180	PRESS RELEASE	www.federalreserve.gov/newsevents/press/enforcement/20061221c.htm
181	WHITEPAPER	www.splicemachine.com/product/resources/etl-white-paper-download/
182	INFOGRAPHIC	uproxx.com/gammasquad/2012/07/batman-and-iron-man-infographics/
183	INFOGRAPHIC	www.forbes.com/sites/niallmccarthy/2015/06/09/the-countries-with-the-most-engineering-graduates-infographic/
184	INFOGRAPHIC	www.referralcandy.com/blog/the-biggest-opportunities-in-ecommerce-right-now-as-revealed-by-retail-experts-infographic/
185	PRODUCT COMPARISON	www.softwareadvice.com/resources/scm-3pl-wms-comparison-guide/
186	PRESS RELEASE	investor.lululemon.com/releases.cfm
187	WHITEPAPER	www.sans.org/reading-room/whitepapers/detection/ids-burglar-alarms-how-to-guide-1324
188	STORE LOCATOR	www.stores-locator.com/62401-effingham/kmart-6600.html
189	STORE LOCATOR	www.mystore411.com/store/listing/2101/Saudi%20Arabia/Armani-store-locations
190	INFOGRAPHIC	socialmarketingwriting.com/13-blogging-statistics-probably-dont-know-infographic/
191	STORE LOCATOR	storefound.org/costco-store-hours-locations/in/indianapolis
192	PRODUCT DETAIL	www.sheldonbrown.com/saddles.html
193	INFOGRAPHIC	washington.org/article/outdoor-recreation-infographic
194	PRODUCT DETAIL	www.newegg.com/Product/ProductList.aspx?Description=wireless%20keyboard%2Ctrackball&amp;Submit=ENE
195	PRODUCT CATEGORY	www.thehardwarehut.com/type-knob_backplate.php
196	PRODUCT CATEGORY	shopping.yahoo.com/eyeglasses/foster-grant--brand/
197	STORE LOCATOR	www.dickssportinggoods.com/storeLocator/index.jsp
198	INFOGRAPHIC	mic.com/articles/104472/what-sleep-deprivation-does-to-your-brain-in-one-stunning-infographic
199	STORE LOCATOR	www.7-eleven.com/locator
200	INFOGRAPHIC	blog.kissmetrics.com/landing-page-blueprint/
201	PRODUCT DETAIL	www.ebay.com/bhp/swany-gloves
202	DOCUMENTATION	www.ibm.com/support/knowledgecenter/SSSHRK_4.1.1/com.ibm.networkmanagerip.doc_4.1.1/itnm/ip/wip/common/welcome.html
203	DOCUMENTATION	h30434.www3.hp.com/t5/LaserJet-Printing/Scanner-on-my-PhotoSmart-d110-does-not-scan-to-PC/td-p/507375
204	DOCUMENTATION	docs.splunk.com/Documentation/Splunk/latest/Alert/Emailnotification
205	INFOGRAPHIC	www.griswoldhomecare.com/blog/five-heart-health-tips-for-seniors-infographic/
206	STORE LOCATOR	storehourslocations.com/mandt-bank-hours-locations/new-york/brewster/4589507
207	DOCUMENTATION	cloud.oracle.com/business_intelligence?tabname=LearnMoreInfo&amp;lmResID=1426288854714
208	DOCUMENTATION	www.st.nmfs.noaa.gov/st1/CoastGuard/VesselByID.html
209	PRODUCT DETAIL	www.instructables.com/id/How-to-Repair-Samsung-S5-Glass-Only/
210	INFOGRAPHIC	www.pinterest.com/explore/infographic-resume/
211	PRODUCT DETAIL	lifehacker.com/5576272/use-computer-speakers-to-supercharge-small-tv-sound
212	PRODUCT COMPARISON	www.gourmesso.com/nespresso/comparison-hiline-coffee-pods
213	PRODUCT DETAIL	www.bestbuy.com/site/brands/asus/pcmcat190000050006.c?id=pcmcat190000050006
214	WHITEPAPER	www.sans.org/reading-room/whitepapers/application/web-based-attacks-2053
215	STORE LOCATOR	storehourslocations.com/motherhood-maternity-store-hours-locations/mississippi/southaven/5111285
216	PRESS RELEASE	www.docusign.com/press-releases/industry-standard-for-digital-transactions-now-available
217	INFOGRAPHIC	blog.tekserve.com/hard-drives-over-30-years-how-to-find-the-best/
218	DOCUMENTATION	docs.tibco.com/products/tibco-activematrix-businessworks-5-12-0
219	INFOGRAPHIC	www.pinterest.com/bernardbusch/infographics-icons/
220	PRODUCT CATEGORY	www.homedepot.com/b/Heating-Venting-Cooling-Fireplace-Hearth-Fireplace-Inserts/N-5yc1vZc4lp
221	DOCUMENTATION	www.programmableweb.com/api/sciencelogic
222	STORE LOCATOR	storefound.org/walmart-store-hours-locations/ar/west-helena
223	PRODUCT CATEGORY	www.customdocksystems.com/products-detail.php?id=17
224	PRODUCT COMPARISON	www.consumersearch.com/mattress-toppers/best-memory-foam-and-latex-mattress-toppers
225	PRESS RELEASE	www.justice.gov/opa/pr/chicago-police-officer-pleads-guilty-violating-federal-civil-rights-man-beaten-while
226	STORE LOCATOR	www.hm.com/us/store-locator
227	STORE LOCATOR	thekinkosstorelocator.com/Kinkos-Store-locator-map.html/city=Champaign&amp;state=IL
228	PRODUCT CATEGORY	www.overtons.com/Outdoor-Gear/Boats-Kayaks-Canoes
229	PRESS RELEASE	www.federalreserve.gov/newsevents/press/all/2006all.htm
230	PRODUCT COMPARISON	www.2-spyware.com/compare2.php
231	DOCUMENTATION	blog.e-zest.net/installing-payment-bridge-for-magento-enterprise-edition/
232	DOCUMENTATION	cassandra.apache.org/
233	STORE LOCATOR	www.walgreens.com/storelocator/storeDetails.jsp?stnum=4837
234	PRODUCT CATEGORY	www.westelm.com/products/round-metal-curtain-rings-r419/
235	STORE LOCATOR	www.usahealthclinics.com/vitamin-stores/Killeen-TX/locations.html
236	WHITEPAPER	www.samsclub.com/sams/plates-tableware/1555.cp
237	PRODUCT COMPARISON	www.scalesgalore.com/digital-physicians-scales-comparison-chart.htm
238	PRODUCT DETAIL	www.gandermountain.com/modperl/product/details.cgi?i=431234
239	PRESS RELEASE	www.donaldjtrump.com/press-releases/donald-j.-trump-response-to-the-pope
240	PRESS RELEASE	berniesanders.com/press-release/sanders-stop-the-wall-street-to-washington-revolving-door/
241	INFOGRAPHIC	www.pfsweb.com/blog/2015-back-to-school-infographic-digital-retail-and-ecommerce/
242	PRODUCT CATEGORY	www.target.com/c/drums-percussion-musical-instruments-karaoke/-/N-5xswc
243	STORE LOCATOR	www.storehoursandlocations.com/buffalo-wild-wings/Manhasset-NY/listings.html
244	PRODUCT COMPARISON	science.opposingviews.com/comparison-landline-telephone-providers-17175.html
245	PRODUCT COMPARISON	www.fjcruiserforums.com/forums/camping-equipment/68554-complete-roof-top-tent-comparison.html
246	INFOGRAPHIC	www.aclu.org/infographic/grounded-life-no-fly-list
247	PRODUCT DETAIL	www.mrcoffee.com/coffee-makers/12-cup-coffee-maker/
248	STORE LOCATOR	www.storehoursandlocations.com/store-location/caribou-coffee.html
249	PRODUCT CATEGORY	www.sears.com/shc/s/t_10153_12605?tName=150w-halogen-bulb.html
250	INFOGRAPHIC	www.huffingtonpost.com/2013/10/23/bourbon-vs-whiskey-infographic_n_4142691.html
251	STORE LOCATOR	local.biglots.com/
252	DOCUMENTATION	pubs.vmware.com/hybridcloud-26/index.jsp
253	INFOGRAPHIC	www.superiorglove.com/pages/blog/infographic-cut-resistance/
254	PRODUCT CATEGORY	www.houzz.com/photos/561034/Carrara-Marble-Italian-White-Bianco-Carrera-12x24-Marble-Tile-Honed-wall-and-floor-tile-new-york
255	WHITEPAPER	www.brown.edu/information-technology/knowledge-base/article/1606
256	PRESS RELEASE	www.gpo.gov/newsroom-media/presspage/16presspage01
257	PRODUCT CATEGORY	www.lowes.com/Bathroom/Bathtubs-Whirlpool-Tubs/Bathtub-Surrounds/_/N-1z0z4hn/pl
258	PRODUCT CATEGORY	www.budgetblinds.com/window-shades/solar-shades/
259	PRODUCT DETAIL	www.dickssportinggoods.com/product/index.jsp?productId=13206792
260	INFOGRAPHIC	stephenslighthouse.com/2012/12/23/infographic-2012-internet-mobile-trends/
261	STORE LOCATOR	www.meijer.com/custserv/store_locator.jsp
262	PRODUCT DETAIL	www.caloriecount.com/calories-wylers-mrs-grass-onion-soup-i322323
263	DOCUMENTATION	docs.spring.io/spring/docs/current/spring-framework-reference/htmlsingle/
264	WHITEPAPER	www.sans.org/reading-room/whitepapers/awareness/ultimate-defense-depth-security-awareness-company-395
265	PRODUCT CATEGORY	www.homedepot.com/b/Lumber-Composites-Pressure-Treated-Lumber/Pressure-Treated-Natural-Wood-Decking/N-5yc1vZc3srZ1z10nx8
266	DOCUMENTATION	docs.oracle.com/cd/E37379_01/index.htm
267	PRODUCT DETAIL	shopping.yahoo.com/womens-sandals/tsubo--brand/
268	STORE LOCATOR	www.storehoursandlocations.com/winco/Irvine-CA/listings.html
269	PRESS RELEASE	www.eeoc.gov/eeoc/newsroom/release/10-1-09l.cfm
270	INFOGRAPHIC	www.salesforce.com/blog/2014/08/infographic-what-is-sales-enablement-anyway-gp.html
271	PRODUCT COMPARISON	www.walmart.com/ip/Compare-N-Save-Concentrate-Indoor-Outdoor-Insect-Control/40596620
272	DOCUMENTATION	www.scmagazine.com/firemon-security-manager-with-policy-planner-and-risk-analyzer/review/3667/
273	DOCUMENTATION	www.saphub.com/abap-workbench/how-to-maintain-documentation-in-abap-report/
274	PRODUCT COMPARISON	www.mysupermarket.co.uk/tesco-price-comparison/Tobacconist/Castella_Classic_Fine_Cigars_5_per_pack_x_5.html
275	WHITEPAPER	www.microsoft.com/en-us/server-cloud/solutions/identity-management.aspx
276	PRODUCT COMPARISON	mobilenetworkcomparison.org.uk/unlimiteddata/
277	PRESS RELEASE	www.nsf.gov/news/news_summ.jsp?cntn_id=137709&org=NSF&from=news
278	PRODUCT CATEGORY	www.pinterest.com/pin/240661173808717005/
279	PRODUCT DETAIL	www.amazon.com/EcoPlus-728492-Submersible-Pump-100GPH/dp/B007KIIQF6
280	PRODUCT CATEGORY	www.technidock.com/floatDrums.html
281	PRODUCT CATEGORY	www.larsondoors.com/storm-doors/security-storm-doors
282	STORE LOCATOR	www.storelocations411.com/macys/La-Quinta-CA/listing.html
283	PRODUCT CATEGORY	www.slate.com/articles/health_and_science/science/2010/08/dont_just_sit_there.html
284	PRODUCT CATEGORY	www.ebay.com/bhp/orange-hunting-vest
285	PRESS RELEASE	www.hsph.harvard.edu/news/press-release/2011/
286	DOCUMENTATION	www.rushemergencymedicine.com/2011_site/index.php/lectures/show_lecture/documentation
287	PRODUCT DETAIL	www.bestbuy.com/site/steelseries-qck-mouse-pad-black/2822575.p?id=1218354583161
288	PRODUCT COMPARISON	www.ar15.com/forums/t_6_42/380799_Dillon_RT_1200B_vs_Giraud_vs_Possum_Hollow_trimmers____a_photo_comparison_.html
289	WHITEPAPER	www.staples.com/Disposable-Plates-Cups/cat_CL142175
290	PRODUCT DETAIL	www.amazon.com/SanDisk-32GB-microSDHC-Memory-Package/dp/B003WGJYCY
291	INFOGRAPHIC	solutionslab.vzw.com/infographic/private-network-traffic-management-business-infographic/
292	PRODUCT DETAIL	www.amazon.com/Fluke-1550C-Insulation-Resistance-measurement/dp/B0044XJNCK
293	INFOGRAPHIC	www.opulentjewelers.com/blog/identifying-fake-cartier-love-bracelet-infographic/
294	PRODUCT COMPARISON	www.enotes.com/homework-help/compare-contrast-bacteria-viruses-provide-least-161351
295	DOCUMENTATION	api.jquerymobile.com/1.3/
296	INFOGRAPHIC	www.payscale.com/career-news/2013/06/nurse-practitioner-vs.-doctor-of-nursing-practice-infographic-
